Date,Open,High,Low,Close,Adj Close,Volume
2011-05-03,0.515625,0.521562,0.506250,0.509375,0.458950,33670400
2011-05-04,0.510000,0.515000,0.510000,0.515000,0.464018,39203200
2011-05-05,0.512812,0.512812,0.510000,0.511875,0.461202,35097600
2011-05-06,0.510937,0.511875,0.500000,0.508125,0.457824,38672000
2011-05-09,0.506562,0.507812,0.501250,0.503125,0.453319,667680
2011-05-10,0.503125,0.503125,0.503125,0.503125,0.453319,0
2011-05-11,0.507812,0.515625,0.507812,0.512500,0.461765,6240000
2011-05-12,0.506875,0.513125,0.506250,0.513125,0.462329,7360000
2011-05-13,0.512500,0.512500,0.507500,0.510937,0.460357,7046400
2011-05-16,0.510937,0.510937,0.510937,0.510937,0.460357,0
2011-05-17,0.503125,0.504687,0.500625,0.503125,0.453319,5532800
2011-05-18,0.501562,0.504062,0.492812,0.493750,0.444872,22262400
2011-05-19,0.493750,0.499375,0.492500,0.494687,0.445716,14163200
2011-05-20,0.494062,0.499687,0.484687,0.498125,0.448814,10518400
2011-05-23,0.492500,0.496250,0.485937,0.496250,0.447124,8752000
2011-05-24,0.498437,0.500000,0.484687,0.489687,0.441211,33539200
2011-05-25,0.489062,0.489062,0.474687,0.475000,0.427978,18569600
2011-05-26,0.474375,0.492187,0.474375,0.491562,0.442900,11814400
2011-05-27,0.487187,0.496875,0.485000,0.493750,0.444872,16630400
2011-05-30,0.487500,0.499375,0.487500,0.498437,0.449095,4662400
2011-05-31,0.500000,0.500000,0.489062,0.500000,0.450503,35980800
2011-06-01,0.495937,0.508437,0.493125,0.506250,0.456134,14060800
2011-06-02,0.500000,0.515625,0.500000,0.512500,0.461765,13865600
2011-06-03,0.506250,0.521875,0.506250,0.521875,0.470212,12969600
2011-06-06,0.517812,0.525625,0.514375,0.521875,0.470212,10441600
2011-06-07,0.518750,0.524062,0.513125,0.521562,0.469930,18960000
2011-06-08,0.520937,0.521250,0.513437,0.518125,0.466834,10473600
2011-06-09,0.515937,0.539687,0.515625,0.534375,0.481475,36128000
2011-06-10,0.529687,0.535937,0.519375,0.535937,0.482882,14844800
2011-06-13,0.535937,0.555000,0.534375,0.540625,0.487106,26368000
2011-06-14,0.543750,0.548437,0.520937,0.535000,0.482038,19737600
2011-06-15,0.534375,0.534375,0.522500,0.527812,0.475562,15379200
2011-06-16,0.515625,0.527187,0.499687,0.525000,0.473028,19196800
2011-06-17,0.521875,0.523125,0.501562,0.515625,0.464581,7590400
2011-06-20,0.510312,0.512500,0.500937,0.506250,0.456134,7673600
2011-06-21,0.503125,0.521250,0.502812,0.518750,0.467397,5961600
2011-06-22,0.511250,0.521250,0.507500,0.507812,0.457542,10425600
2011-06-24,0.511875,0.519687,0.503437,0.506250,0.456134,6016000
2011-06-27,0.514687,0.514687,0.494375,0.500000,0.450503,9404800
2011-06-28,0.500312,0.507500,0.497812,0.507500,0.457260,10067200
2011-06-29,0.506250,0.513125,0.502500,0.513125,0.462329,9449600
2011-06-30,0.508125,0.511562,0.500000,0.507812,0.457542,17027200
2011-07-01,0.509062,0.509375,0.496875,0.506250,0.456134,19334400
2011-07-04,0.504375,0.512500,0.500625,0.512500,0.461765,8060800
2011-07-05,0.515625,0.527187,0.514062,0.524062,0.472183,40854400
2011-07-06,0.523750,0.524375,0.518750,0.521875,0.470212,15392000
2011-07-07,0.523125,0.528125,0.512500,0.512500,0.461765,10969600
2011-07-08,0.512187,0.512500,0.500312,0.509375,0.458950,17078400
2011-07-11,0.503125,0.508750,0.484687,0.485937,0.437832,18057600
2011-07-12,0.486250,0.500000,0.476562,0.498437,0.449095,13737600
2011-07-13,0.499062,0.499375,0.479687,0.492187,0.443463,15334400
2011-07-14,0.485937,0.490625,0.468750,0.468750,0.422347,12419200
2011-07-15,0.472187,0.473750,0.448125,0.453125,0.408268,12384000
2011-07-18,0.455312,0.455625,0.432812,0.433437,0.390529,13177600
2011-07-19,0.437187,0.465000,0.434062,0.462500,0.416715,19712000
2011-07-20,0.465312,0.469687,0.447187,0.447187,0.402918,9376000
2011-07-21,0.452812,0.454687,0.440312,0.448125,0.403763,8876800
2011-07-22,0.448750,0.465625,0.447187,0.465625,0.419531,12595200
2011-07-25,0.448437,0.478125,0.448437,0.454062,0.409112,109504
2011-07-26,0.460937,0.482500,0.456250,0.482500,0.434735,12361600
2011-07-27,0.478125,0.478125,0.455000,0.466875,0.420657,11113600
2011-07-28,0.468125,0.468750,0.442187,0.442187,0.398413,22259200
2011-07-29,0.445312,0.445312,0.426250,0.429687,0.387150,62688
2011-08-01,0.437500,0.445312,0.421250,0.437187,0.393908,8393600
2011-08-02,0.437187,0.441875,0.429375,0.436875,0.393627,9388800
2011-08-03,0.432812,0.438750,0.396250,0.420312,0.378704,16896000
2011-08-04,0.406250,0.406250,0.382187,0.384375,0.346324,14230400
2011-08-05,0.375000,0.392187,0.347187,0.370000,0.333372,21920000
2011-08-08,0.331250,0.353750,0.331250,0.343750,0.309721,12880000
2011-08-09,0.344687,0.357187,0.325937,0.350000,0.315352,28848000
2011-08-10,0.342187,0.351562,0.334062,0.351562,0.316759,27260800
2011-08-11,0.351250,0.390312,0.347187,0.390312,0.351673,16083200
2011-08-12,0.390000,0.413750,0.377812,0.412187,0.371383,15308800
2011-08-15,0.403437,0.421562,0.403437,0.418125,0.376733,7859200
2011-08-16,0.407812,0.415625,0.391562,0.410625,0.369976,8409600
2011-08-17,0.410625,0.418125,0.406562,0.413125,0.372228,9555200
2011-08-18,0.405937,0.414687,0.376875,0.414687,0.373635,9305600
2011-08-19,0.404062,0.412812,0.396562,0.401250,0.361529,16832000
